2019-12-12 21:17:06.048466 - Python Partest Version 0.5
Setting up test: runsperthread=50 threads=1 totalruns=50 payload=[{'name': 'Bob'} {'name': 'Joe'} {'name': 'Steve'}]

Raw results of each run:
containerID,contextSwitches,contextSwitchesDelta,cpuCores,cpuIdle,cpuIdleDelta,cpuIowait,cpuIowaitDelta,cpuIrq,cpuIrqDelta,cpuKrn,cpuKrnDelta,cpuModel,cpuNice,cpuNiceDelta,cpuSoftIrq,cpuSoftIrqDelta,cpuType,cpuUsr,cpuUsrDelta,frameworkRuntime,freeMemory,functionMemory,functionName,functionRegion,majorPageFaults,majorPageFaultsDelta,newcontainer,pageFaults,pageFaultsDelta,runtime,totalMemory,userRuntime,uuid,vmID,vmcpusteal,vmcpustealDelta,vmuptime
2019/12/12/[$LATEST]004c9f15db7d4685a3bf5cb6d0e02e45,21558,40,2,181730,1,3,0,0,0,124,0,62,0,0,1,0,Intel(R) Xeon(R) Processor @ 2.50GHz - Model 62,329,0,89,406212,512,tutorial9,us-east-1,688,0,0,74386,4,92,633804,0,d79e1243-13ed-4f9d-99fd-590c02b47d4c,wlA3wq,16,0,1576184143
2019/12/12/[$LATEST]812e2aa9aec64af0b75436a6ab3d09c7,23928,0,2,271432,0,9,0,0,0,118,0,62,0,0,1,0,Intel(R) Xeon(R) Processor @ 2.50GHz - Model 62,376,0,4,404900,512,tutorial9,us-east-1,685,0,0,73815,0,20,633804,0,73aad9bd-ce4d-4405-ab6c-27d5012ddc73,V3MMI0,76,0,1576183706
2019/12/12/[$LATEST]ba0763c7d19e40c38217c37785fec6b5,24479,4,2,361593,0,8,0,0,0,121,0,62,0,0,1,0,Intel(R) Xeon(R) Processor @ 2.50GHz - Model 62,397,0,57,404888,512,tutorial9,us-east-1,691,0,0,73820,0,58,633804,0,9c336ea7-2e72-4845-bca9-eaaea3d591b2,5BaqaE,99,0,1576183247
2019/12/12/[$LATEST]fcc7d3f39bfa436d8a3ca069a08c5856,21436,0,2,318271,0,10,0,0,0,122,0,62,0,0,2,0,Intel(R) Xeon(R) Processor @ 2.50GHz - Model 62,322,0,4,413560,512,tutorial9,us-east-1,681,0,0,70770,0,5,633804,0,2dc8ab96-0e86-41b0-b5f7-ee5d5e71057d,mBp05T,175,0,1576183452
2019/12/12/[$LATEST]144dbb1e9eb44273ab5c23465f21fd41,26547,2,2,524796,0,12,0,0,0,140,0,62,0,0,2,0,Intel(R) Xeon(R) Processor @ 2.50GHz - Model 62,360,0,4,412720,512,tutorial9,us-east-1,684,0,0,71309,0,5,633804,0,e7900f82-3990-43ee-8e05-db22673e71c7,g8Ujcw,127,0,1576182424
2019/12/12/[$LATEST]ba0763c7d19e40c38217c37785fec6b5,26716,894,2,382063,2395,8,0,0,0,123,1,62,0,0,2,0,Intel(R) Xeon(R) Processor @ 2.50GHz - Model 62,413,2,4,404548,512,tutorial9,us-east-1,691,0,0,74500,1,12006,633804,12001,9c336ea7-2e72-4845-bca9-eaaea3d591b2,5BaqaE,108,5,1576183247
2019/12/12/[$LATEST]11f62e8a6c6b408586b6c302dc8071b0,21503,1669,2,315300,3764,14,0,0,0,120,6,62,0,0,0,1,Intel(R) Xeon(R) Processor @ 2.50GHz - Model 62,316,26,4,413064,512,tutorial9,us-east-1,688,2,0,71056,579,19036,633804,19031,e1707efd-06d3-4601-bd65-83f7b5a7b0cc,vfjy6n,126,11,1576183461
2019/12/12/[$LATEST]11f62e8a6c6b408586b6c302dc8071b0,23448,15,2,319139,3,14,0,0,0,127,0,62,0,0,1,0,Intel(R) Xeon(R) Processor @ 2.50GHz - Model 62,350,0,4,410188,512,tutorial9,us-east-1,690,0,0,71799,2,24,633804,18,e1707efd-06d3-4601-bd65-83f7b5a7b0cc,vfjy6n,139,0,1576183461
2019/12/12/[$LATEST]16837b7d7391406ab610e273e4f45e53,21976,2341,2,418379,5792,5,0,0,0,131,9,62,0,0,1,0,Intel(R) Xeon(R) Processor @ 2.50GHz - Model 62,293,26,17,414696,512,tutorial9,us-east-1,685,3,0,70445,521,29199,633804,29181,f2c991a5-c2c7-4255-81ac-9ab71a13a9a7,jpm7Bu,147,16,1576182943
2019/12/12/[$LATEST]11f62e8a6c6b408586b6c302dc8071b0,23856,2,2,319246,0,14,0,0,0,128,0,62,0,0,1,0,Intel(R) Xeon(R) Processor @ 2.50GHz - Model 62,362,0,4,409840,512,tutorial9,us-east-1,690,0,0,72190,0,5,633804,1,e1707efd-06d3-4601-bd65-83f7b5a7b0cc,vfjy6n,140,0,1576183461
2019/12/12/[$LATEST]ade6a3d911f743df9b97b8197ddb3061,25618,736,2,304257,2398,6,0,0,0,131,1,62,0,0,2,0,Intel(R) Xeon(R) Processor @ 2.50GHz - Model 62,341,1,38,409488,512,tutorial9,us-east-1,690,0,0,73492,0,12039,633804,12000,a96e99b1-d05f-4f26-b602-73c851b0b36d,hzWV28,73,5,1576183637
2019/12/12/[$LATEST]ba0763c7d19e40c38217c37785fec6b5,24007,0,2,361495,0,8,0,0,0,120,0,62,0,0,1,0,Intel(R) Xeon(R) Processor @ 2.50GHz - Model 62,390,0,10,405308,512,tutorial9,us-east-1,691,0,0,73470,0,11,633804,0,9c336ea7-2e72-4845-bca9-eaaea3d591b2,5BaqaE,94,0,1576183247
2019/12/12/[$LATEST]5b89876785564fd2bfa943b4bd9cd824,16055,1575,2,444707,2629,8,1,0,0,75,11,62,0,0,1,1,Intel(R) Xeon(R) Processor @ 2.50GHz - Model 62,86,25,283,472180,512,tutorial9,us-east-1,643,2,1,60576,1242,13665,633804,13381,4828f38f-740b-4086-9a44-5aa2c09ead44,TBroUA,65,19,1576182693
2019/12/12/[$LATEST]fcc7d3f39bfa436d8a3ca069a08c5856,22254,21,2,318437,0,10,0,0,0,123,0,62,0,0,2,0,Intel(R) Xeon(R) Processor @ 2.50GHz - Model 62,339,0,4,412800,512,tutorial9,us-east-1,681,0,0,71444,5,5,633804,0,2dc8ab96-0e86-41b0-b5f7-ee5d5e71057d,mBp05T,179,0,1576183452
2019/12/12/[$LATEST]16837b7d7391406ab610e273e4f45e53,14610,1568,2,394714,2623,2,1,0,0,69,10,62,0,0,1,0,Intel(R) Xeon(R) Processor @ 2.50GHz - Model 62,86,25,241,472216,512,tutorial9,us-east-1,642,0,1,61003,1441,13585,633804,13343,f2c991a5-c2c7-4255-81ac-9ab71a13a9a7,jpm7Bu,32,10,1576182943
2019/12/12/[$LATEST]144dbb1e9eb44273ab5c23465f21fd41,27070,0,2,524904,0,12,0,0,0,142,0,62,0,0,2,0,Intel(R) Xeon(R) Processor @ 2.50GHz - Model 62,371,0,4,412456,512,tutorial9,us-east-1,684,0,0,71740,0,4,633804,0,e7900f82-3990-43ee-8e05-db22673e71c7,g8Ujcw,128,0,1576182424
